#datum;m_tnn;m_tnnd;m_tna;m_dtn0;m_dtn10;m_dtn20
1918-06;3.9;1918-06-05;11.4;0;0;0
1918-07;10.7;1918-07-02;15.6;0;0;1
1918-08;10.3;1918-08-29;14.9;0;0;0
1918-09;6.5;1918-09-30;11.3;0;0;0
1918-10;3.3;1918-10-05;7.8;0;0;0
1918-11;-9.3;1918-11-24;1.3;15;0;0
1918-12;-2.5;1918-12-03;-0.3;18;0;0
1919-01;-1.3;1919-01-30;0.9;10;0;0
1919-02;-12.2;1919-02-09;-1.8;17;3;0
1919-03;-3.3;1919-03-20;2.9;4;0;0
1919-04;1.7;1919-04-23;6.1;0;0;0
1919-05;1.7;1919-05-01;6.9;0;0;0
1919-06;8.8;1919-06-26;12.7;0;0;0
1919-07;10.4;1919-07-15;14.0;0;0;0
1919-08;7.0;1919-08-26;13.9;0;0;0
1919-09;7.1;1919-09-22;12.1;0;0;0
1919-10;-0.7;1919-10-20;6.4;1;0;0
1919-11;-5.4;1919-11-18;1.1;9;0;0
1919-12;-7.5;1919-12-18;-0.7;20;0;0
1920-01;-6.0;1920-01-27;0.7;12;0;0
1920-02;-6.1;1920-02-10;-1.5;23;0;0
1920-03;-0.2;1920-03-02;3.7;1;0;0
1920-04;3.1;1920-04-08;9.4;0;0;0
1920-05;4.5;1920-05-12;12.3;0;0;0
1920-06;7.3;1920-06-08;13.1;0;0;0
1920-07;11.3;1920-07-30;15.9;0;0;0
1920-08;10.4;1920-08-25;14.2;0;0;0
1920-09;5.5;1920-09-10;11.1;0;0;0
1920-10;-9.5;1920-10-31;3.9;5;0;0
1920-11;-8.9;1920-11-02;-2.3;21;0;0
1920-12;-4.0;1920-12-15;0.9;10;0;0
1921-01;-7.9;1921-01-26;1.9;6;0;0
1921-02;-6.7;1921-02-23;-1.3;17;0;0
1921-03;-5.3;1921-03-10;0.7;17;0;0
1921-04;0.5;1921-04-04;5.6;0;0;0
1921-05;5.7;1921-05-06;11.3;0;0;0
1921-06;7.9;1921-06-18;12.8;0;0;0
1921-07;10.7;1921-07-05;15.8;0;0;3
1921-08;9.4;1921-08-28;15.4;0;0;2
1921-09;1.5;1921-09-29;9.5;0;0;0
1921-10;0.1;1921-10-28;5.9;0;0;0
1921-11;-7.1;1921-11-28;0.8;14;0;0
1921-12;-9.3;1921-12-02;-1.7;21;0;0
1922-01;-11.7;1922-01-28;-3.9;24;4;0
1922-02;-12.8;1922-02-09;-5.1;22;7;0
1922-03;-2.0;1922-03-31;2.8;5;0;0
1922-04;-2.3;1922-04-03;4.8;2;0;0
1922-05;4.7;1922-05-15;10.2;0;0;0
1922-06;10.5;1922-06-06;14.3;0;0;0
1922-07;10.0;1922-07-30;14.8;0;0;1
1922-08;8.3;1922-08-28;14.0;0;0;1
1922-09;2.8;1922-09-20;10.3;0;0;0
1922-10;-1.3;1922-10-26;6.3;3;0;0
1922-11;-7.1;1922-11-29;-0.6;19;0;0
1922-12;-7.2;1922-12-12;-1.2;19;0;0
1923-01;-8.5;1923-01-22;-0.4;13;0;0
1923-02;-9.1;1923-02-21;-0.6;18;0;0
1923-03;-1.2;1923-03-20;2.6;3;0;0
1923-04;-3.1;1923-04-02;5.3;5;0;0
1923-05;4.7;1923-05-14;10.6;0;0;0
1923-06;6.5;1923-06-09;11.6;0;0;0
1923-07;8.9;1923-07-03;15.6;0;0;2
1923-08;9.5;1923-08-30;14.3;0;0;1
1923-09;7.3;1923-09-10;11.3;0;0;0
1923-10;2.5;1923-10-17;9.5;0;0;0
1923-11;-0.3;1923-11-24;4.1;1;0;0
1923-12;-15.5;1923-12-28;-1.2;12;4;0
1924-01;-13.1;1924-01-25;-6.0;27;3;0
1924-02;-8.5;1924-02-25;-2.6;23;0;0
1924-03;-7.5;1924-03-01;1.6;14;0;0
1924-04;-0.7;1924-04-13;5.7;1;0;0
1924-05;4.8;1924-05-06;13.1;0;0;0
1924-06;11.5;1924-06-16;14.8;0;0;0
1924-07;10.1;1924-07-16;15.1;0;0;0
1924-08;9.1;1924-08-28;13.8;0;0;0
1924-09;9.9;1924-09-30;13.0;0;0;0
1924-10;1.9;1924-10-25;7.3;0;0;0
1924-11;-8.0;1924-11-16;0.0;20;0;0
1924-12;-9.1;1924-12-14;-2.1;22;0;0
1925-01;-8.2;1925-01-24;-2.5;24;0;0
1925-02;-2.7;1925-02-07;1.9;6;0;0
1925-03;-6.0;1925-03-13;0.9;13;0;0
1925-04;-1.9;1925-04-01;5.8;3;0;0
1925-05;6.3;1925-05-20;12.2;0;0;0
1925-06;8.2;1925-06-08;13.0;0;0;0
1925-07;12.9;1925-07-02;15.9;0;0;0
1925-08;11.4;1925-08-17;15.3;0;0;0
1925-09;4.2;1925-09-17;10.3;0;0;0
1925-10;-0.4;1925-10-21;6.5;2;0;0
1925-11;-8.3;1925-11-30;3.4;10;0;0
1925-12;-16.3;1925-12-05;-5.9;21;12;0
1926-01;-12.7;1926-01-12;-2.2;18;2;0
1926-02;-2.4;1926-02-28;2.3;4;0;0
1926-03;-3.8;1926-03-24;1.6;11;0;0
1926-04;-0.2;1926-04-05;6.9;1;0;0
1926-05;4.6;1926-05-10;10.1;0;0;0
1926-06;10.3;1926-06-15;13.4;0;0;0
1926-07;10.4;1926-07-29;16.0;0;0;1
1926-08;8.8;1926-08-30;13.3;0;0;0
1926-09;5.1;1926-09-26;11.9;0;0;0
1926-10;-0.3;1926-10-20;7.2;1;0;0
1926-11;-0.1;1926-11-28;6.9;1;0;0
1926-12;-10.0;1926-12-25;0.0;11;1;0
1927-01;-6.0;1927-01-07;0.9;14;0;0
1927-02;-10.5;1927-02-21;-2.9;25;2;0
1927-03;-0.5;1927-03-05;4.0;1;0;0
1927-04;2.1;1927-04-05;6.3;0;0;0
1927-05;0.5;1927-05-12;9.4;0;0;0
1927-06;9.0;1927-06-29;14.0;0;0;1
1927-07;12.7;1927-07-06;16.3;0;0;0
1927-08;12.1;1927-08-22;15.9;0;0;1
1927-09;7.9;1927-09-14;12.9;0;0;0
1927-10;1.8;1927-10-07;6.2;0;0;0
1927-11;-2.5;1927-11-15;3.5;7;0;0
1927-12;-19.1;1927-12-22;-5.3;30;7;0
1928-01;-14.8;1928-01-04;-2.8;26;5;0
1928-02;-8.6;1928-02-23;-1.1;15;0;0
1928-03;-7.8;1928-03-02;0.4;14;0;0
1928-04;-0.8;1928-04-14;6.4;1;0;0
1928-05;1.5;1928-05-12;8.6;0;0;0
1928-06;3.0;1928-06-03;12.9;0;0;0
1928-07;12.2;1928-07-10;17.1;0;0;4
1928-08;10.7;1928-08-19;15.4;0;0;1
1928-09;3.9;1928-09-25;12.1;0;0;0
1928-10;-0.5;1928-10-17;6.7;1;0;0
1928-11;0.2;1928-11-30;5.2;0;0;0
1928-12;-7.7;1928-12-22;-1.1;16;0;0
1929-01;-12.5;1929-01-11;-6.8;30;8;0
1929-02;-23.4;1929-02-11;-11.1;27;15;0
1929-03;-13.6;1929-03-03;-1.9;20;2;0
1929-04;-4.2;1929-04-05;3.2;4;0;0
1929-05;7.0;1929-05-03;12.7;0;0;0
1929-06;8.3;1929-06-02;13.8;0;0;0
1929-07;11.5;1929-07-10;15.9;0;0;3
1929-08;14.5;1929-08-22;17.7;0;0;2
1929-09;4.3;1929-09-30;11.8;0;0;0
1929-10;2.1;1929-10-29;8.3;0;0;0
1929-11;0.0;1929-11-17;5.0;1;0;0
1929-12;-4.9;1929-12-25;1.4;13;0;0
1930-01;-5.3;1930-01-10;-1.5;21;0;0
1930-02;-9.6;1930-02-09;-1.9;16;0;0
1930-03;-1.0;1930-03-13;3.7;2;0;0
1930-04;1.2;1930-04-01;8.1;0;0;0
1930-05;5.5;1930-05-10;10.6;0;0;0
1930-06;9.2;1930-06-08;15.6;0;0;4
1930-07;10.4;1930-07-13;16.0;0;0;2
1930-08;11.3;1930-08-18;15.1;0;0;0
1930-09;9.2;1930-09-05;13.3;0;0;0
1930-10;0.5;1930-10-04;7.9;0;0;0
1930-11;-2.7;1930-11-19;4.6;2;0;0
1930-12;-8.0;1930-12-24;-0.2;15;0;0
1931-01;-7.8;1931-01-23;-1.7;21;0;0
1931-02;-4.7;1931-02-10;-0.5;17;0;0
1931-03;-6.2;1931-03-06;-1.5;24;0;0
1931-04;-3.0;1931-04-01;4.2;5;0;0
1931-05;6.2;1931-05-01;13.2;0;0;0
1931-06;11.2;1931-06-27;15.7;0;0;1
1931-07;12.5;1931-07-23;16.8;0;0;2
1931-08;10.5;1931-08-13;15.4;0;0;0
1931-09;4.1;1931-09-27;9.3;0;0;0
1931-10;-1.4;1931-10-23;5.5;2;0;0
1931-11;-1.8;1931-11-30;2.0;9;0;0
1931-12;-10.3;1931-12-20;-3.1;22;1;0
1932-01;-6.6;1932-01-30;-3.0;27;0;0
1932-02;-11.5;1932-02-12;-5.8;27;3;0
1932-03;-9.6;1932-03-02;-1.9;23;0;0
1932-04;2.8;1932-04-10;6.3;0;0;0
1932-05;5.1;1932-05-12;11.7;0;0;0
1932-06;8.5;1932-06-11;12.8;0;0;0
1932-07;15.2;1932-07-20;17.5;0;0;4
1932-08;12.8;1932-08-09;16.2;0;0;1
1932-09;8.8;1932-09-17;14.6;0;0;0
1932-10;3.5;1932-10-22;9.1;0;0;0
1932-11;-4.6;1932-11-20;2.5;9;0;0
1932-12;-5.8;1932-12-12;-0.4;22;0;0
1933-01;-9.6;1933-01-28;-3.6;27;0;0
1933-02;-5.0;1933-02-17;-0.0;15;0;0
1933-03;-3.4;1933-03-02;2.7;6;0;0
1933-04;0.7;1933-04-10;5.0;0;0;0
1933-05;5.7;1933-05-14;10.5;0;0;0
1933-06;5.9;1933-06-09;12.2;0;0;0
1933-07;11.7;1933-07-01;16.1;0;0;0
1933-08;10.5;1933-08-30;15.5;0;0;2
1933-09;5.4;1933-09-20;10.7;0;0;0
1933-10;0.8;1933-10-28;7.1;0;0;0
1933-11;-0.9;1933-11-30;3.3;3;0;0
1933-12;-12.6;1933-12-19;-6.9;28;9;0
1934-01;-8.6;1934-01-27;-3.8;27;0;0
1934-02;-10.9;1934-02-03;-2.0;16;2;0
1934-03;-1.4;1934-03-07;5.2;2;0;0
1934-04;0.9;1934-04-04;9.4;0;0;0
1934-05;6.6;1934-05-28;13.1;0;0;0
1934-06;8.2;1934-06-01;13.9;0;0;0
1934-07;12.1;1934-07-06;16.9;0;0;1
1934-08;12.7;1934-08-31;16.8;0;0;2
1934-09;10.7;1934-09-27;13.6;0;0;0
1934-10;1.0;1934-10-18;8.0;0;0;0
1934-11;-2.1;1934-11-22;3.8;6;0;0
1934-12;-1.8;1934-12-25;3.7;4;0;0
1935-01;-11.8;1935-01-20;-4.4;27;4;0
1935-02;-16.6;1935-02-13;-2.5;17;4;0
1935-03;-7.3;1935-03-08;0.4;16;0;0
1935-04;-2.1;1935-04-01;6.3;1;0;0
1935-05;0.0;1935-05-02;9.4;1;0;0
1935-06;11.8;1935-06-03;15.8;0;0;1
1935-07;11.0;1935-07-09;16.4;0;0;2
1935-08;11.4;1935-08-18;15.8;0;0;0
1935-09;6.2;1935-09-12;11.3;0;0;0
1935-10;2.4;1935-10-27;9.2;0;0;0
1935-11;-2.7;1935-11-29;2.4;5;0;0
1935-12;-8.7;1935-12-23;-0.2;15;0;0
1936-01;-3.2;1936-01-16;1.9;7;0;0
1936-02;-11.9;1936-02-11;0.3;11;1;0
1936-03;-0.7;1936-03-19;4.5;2;0;0
1936-04;1.7;1936-04-20;6.9;0;0;0
1936-05;10.2;1936-05-04;13.3;0;0;0
1936-06;8.2;1936-06-03;14.3;0;0;0
1936-07;14.0;1936-07-15;18.0;0;0;4
1936-08;11.6;1936-08-29;14.8;0;0;0
1936-09;3.0;1936-09-29;11.1;0;0;0
1936-10;0.9;1936-10-12;5.0;0;0;0
1936-11;-2.9;1936-11-28;2.9;9;0;0
1936-12;-6.3;1936-12-29;-1.0;20;0;0
1937-01;-11.9;1937-01-25;-4.8;27;3;0
1937-02;-5.7;1937-02-01;-0.6;18;0;0
1937-03;0.9;1937-03-17;4.3;0;0;0
1937-04;5.3;1937-04-20;7.4;0;0;0
1937-05;6.6;1937-05-01;13.7;0;0;0
1937-06;9.6;1937-06-04;15.5;0;0;0
1937-07;12.0;1937-07-02;16.7;0;0;3
1937-08;13.2;1937-08-25;16.7;0;0;1
1937-09;7.4;1937-09-16;13.1;0;0;0
1937-10;2.6;1937-10-21;8.0;0;0;0
1937-11;-1.7;1937-11-16;3.9;4;0;0
1937-12;-11.8;1937-12-29;-1.6;14;3;0
